id	uf	municipio	total	quantidade	percentual
1	AC	ACRELANDIA	455	114	70.77
2	AC	ASSIS BRASIL	183	37	69.95
3	AC	BRASILEIA	596	104	79.03
4	AC	BUJARI	337	55	79.23
5	AC	CAPIXABA	226	29	78.32
6	AC	CRUZEIRO DO SUL	5352	1092	74.89
7	AC	EPITACIOLANDIA	434	77	77.19
8	AC	FEIJO	670	164	68.96
9	AC	JORDAO	113	17	68.14
10	AC	MANCIO LIMA	651	99	80.03
11	AC	MANOEL URBANO	158	28	71.52
12	AC	MARECHAL THAUMATURGO	358	39	84.08
13	AC	PLACIDO DE CASTRO	672	99	81.55
14	AC	PORTO ACRE	595	107	73.78
15	AC	PORTO WALTER	127	24	78.74
16	AC	RIBRANCO	1	0	100.00
17	AC	RIO BRACO	1	0	100.00
18	AC	RIO BRANCO	30779	6477	73.74
19	AC	RIO BRANO	1	0	100.00
20	AC	RODRIGUES ALVES	250	38	80.40
21	AC	SANTA ROSA DO PURUS	42	7	83.33
22	AC	SENA MADUREIRA	1431	274	77.15
23	AC	SENADOR GUIOMARD	1298	192	81.59
24	AC	TARAUACA	842	196	72.09
25	AC	XAPURI	717	103	79.78
26	AL	AGUA BRANCA	705	90	86.38
27	AL	ANADIA	329	96	63.53
28	AL	ARAPIRACA	8591	2623	64.61
29	AL	ATALAIA	551	122	71.87
30	AL	BARRA DE SANTO ANTONIO	253	52	71.15
31	AL	BARRA DE SAO MIGUEL	156	31	73.72
32	AL	BATALHA	446	137	64.80
33	AL	BELEM	117	35	64.96
34	AL	BELO MONTE	52	23	53.85
35	AL	BOCA DA MATA	854	207	71.08
36	AL	BRANQUINHA	95	21	72.63
37	AL	CACIMBINHAS	131	45	63.36
38	AL	CAJUEIRO	320	91	70.31
39	AL	CAMPESTRE	51	13	72.55
40	AL	CAMPO ALEGRE	677	154	72.53
41	AL	CAMPO GRANDE	194	42	77.32
42	AL	CANAPI	225	49	76.00
43	AL	CAPELA	287	74	70.38
44	AL	CARNEIROS	87	23	71.26
45	AL	CHA PRETA	113	48	54.87
46	AL	COITE DO NOIA	252	92	61.90
47	AL	COLONIA LEOPOLDINA	315	90	64.44
48	AL	COQUEIRO SECO	125	23	77.60
49	AL	CORURIPE	879	206	69.28
50	AL	CRAIBAS	448	110	74.11
51	AL	DELMIRO GOUVEIA	1958	543	69.36
52	AL	DOIS RIACHOS	183	25	79.23
53	AL	ESTRELA DE ALAGOAS	150	31	76.00
54	AL	FEIRA GRANDE	411	118	67.40
55	AL	FELIZ DESERTO	51	6	82.35
56	AL	FLEXEIRAS	147	31	75.51
57	AL	GIRAU DO PONCIANO	938	108	87.10
58	AL	IBATEGUARA	168	52	60.71
59	AL	IGACI	412	153	57.77
60	AL	IGREJA NOVA	208	41	74.52
61	AL	INHAPI	204	48	74.02
62	AL	JACARE DOS HOMENS	83	15	79.52
63	AL	JACUIPE	51	15	68.63
64	AL	JAPARATINGA	71	21	56.34
65	AL	JARAMATAIA	138	42	68.84
66	AL	JEQUIA DA PRAIA	160	29	74.38
67	AL	JOAQUIM GOMES	280	54	77.14
68	AL	JUNDIA	75	14	76.00
69	AL	JUNQUEIRO	588	176	66.84
70	AL	LAGOA DA CANOA	585	112	77.44
71	AL	LIMOEIRO DE ANADIA	582	175	65.81
72	AL	MACEIO	41118	12380	63.96
73	AL	MACIO	1	0	100.00
74	AL	MAJOR ISIDORO	203	74	59.61
75	AL	MAR VERMELHO	137	40	69.34
76	AL	MARAGOGI	331	82	70.39
77	AL	MARAVILHA	251	73	68.13
78	AL	MARECHAL DEODORO	923	211	70.96
79	AL	MARIBONDO	349	83	73.07
80	AL	MATA GRANDE	170	48	70.59
81	AL	MATRIZ DE CAMARAGIBE	449	94	73.50
82	AL	MESSIAS	383	56	77.28
83	AL	MINADOR DO NEGRAO	58	18	67.24
